Spell Name,,Discription,Ritual ,Option_A,Casting Time,Cast condition,Components,Material,Duration,Page No.,Use,Save/ Attack Roll,Utility Effect,Damage Type ,Letter,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock ,Wizard
Inflict Wounds,enchantment,"A creature you touch makes a Constitution saving throw, taking 2d10 Necrotic damage on a failed save or half as much damage
on a successful one.
Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1.",No,Level 1,Action,,"V, S",,Instantaneous,288,Damage,Attack Roll,_,Necrotic,I,No,Yes,No,No,No,No,No,No
Insect Plauge,enchantment,"Swarming locusts fill a 20-foot-radius Sphere centered on a point you choose within range. The Sphere remains for the duration,
and its area is Lightly Obscured and Difficult Terrain.
When the swarm appears, each creature in it makes a Constitution saving throw, taking 4d10 Piercing damage on a failed save or
half as much damage on a successful one. A creature also makes this save when it enters the spell’s area for the first time on a
turn or ends its turn there. A creature makes this save only once per turn.
Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 5.
",No,Level 5,Action,,"V, S, M",(a locust),"Concentration, up to 10 Minutes",289,Damage,Constitution Save ,Difficult Terrain,Piercing,I,No,Yes,Yes,No,No,Yes,No,No
Invisibility,enchantment,"A creature you touch has the Invisible condition until the spell ends. The spell ends early immediately after the target makes an
attack roll, deals damage, or casts a spell.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2",No,Level 2,Action,,"V, S, M","(an eyelash encased
in gum arabic)","Concentration, up to 1 Hour",289,Utility,_,Invisibilty,_,I,Yes,No,No,No,No,Yes,Yes,Yes
Jallarzi's Storm of Radiance,illusion,"You unleash a storm of flashing light and raging thunder in a 10-foot-radius, 40-foot-high Cylinder centered on a point you can see
within range. While in this area, creatures have the Blinded and Deafened conditions, and they can’t cast spells with a Verbal
component.
When the storm appears, each creature in it makes a Constitution saving throw, taking 2d10 Radiant damage and 2d10 Thunder
damage on a failed save or half as much damage on a successful one. A creature also makes this save when it enters the spell’s
area for the first time on a turn or ends its turn there. A creature makes this save only once per turn.
Using a Higher-Level Spell Slot. The Radiant and Thunder damage increase by 1d10 for each spell slot level above 5",No,Level 5,Action,,"V, S, M",(a pinch of phosphorus),"Concentration, up to 1 Minute",289,Damage,Constitution Save ,Conditions,Mixed,J,No,No,No,No,No,No,Yes,Yes
Jump,abjuration,"You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet
of movement.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1",No,Level 1,Bonus Action,,"V, S, M",(a grasshopper’s hind leg),1 Minute,290,Utility,_,Movement,_,J,No,No,Yes,No,Yes,Yes,No,Yes
Knock,conjuration,"Choose an object that you can see within range. The object can be a door, a box, a chest, a set of manacles, a padlock, or another
object that contains a mundane or magical means that prevents access.
A target that is held shut by a mundane lock or that is stuck or barred becomes unlocked, unstuck, or unbarred. If the object has
multiple locks, only one of them is unlocked.
If the target is held shut by Arcane Lock, that spell is suppressed for 10 minutes, during which time the target can be opened and
closed.
When you cast the spell, a loud knock, audible up to 300 feet away, emanates from the target.
",No,Level 2,Action,,V,,Instantaneous,290,Utility,_,_,_,K,Yes,No,No,No,No,Yes,No,Yes
Legend Lore,enchantment,"Name or describe a famous person, place, or object. The spell brings to your mind a brief summary of the significant lore about
that famous thing, as described by the DM.
The lore might consist of important details, amusing revelations, or even secret lore that has never been widely known. The more
information you already know about the thing, the more precise and detailed the information you receive is. That information is
accurate but might be couched in figurative language or poetry, as determined by the DM.
If the famous thing you chose isn’t actually famous, you hear sad musical notes played on a trombone, and the spell fails.",No,Level 5,10 Minutes,,"V, S, M**","(incense worth 250+ GP, which the spell consumes, and four ivory strips worth 50+ GP each)",Instantaneous,290,Utility,_,Information,_,L,Yes,Yes,No,No,No,No,No,Yes
Leomund's Secret Chest,evocation,"You hide a chest and all its contents on the Ethereal Plane. You must touch the chest and the miniature replica that serve as
Material components for the spell. The chest can contain up to 12 cubic feet of nonliving material (3 feet by 2 feet by 2 feet).
While the chest remains on the Ethereal Plane, you can take a Magic action and touch the replica to recall the chest. It appears in
an unoccupied space on the ground within 5 feet of you. You can send the chest back to the Ethereal Plane by taking a Magic
action to touch the chest and the replica.
After 60 days, there is a cumulative 5 percent chance at the end of each day that the spell ends. The spell also ends if you cast this
spell again or if the Tiny replica chest is destroyed. If the spell ends and the larger chest is on the Ethereal Plane, the chest remains
there for you or someone else to find.
",No,Level 4,Action,,"V, S, M*","(a chest, 3 feet by 2 feet by 2 feet, constructed from rare materials worth 5,000+ GP, and a Tiny replica of the
chest made from the same materials worth 50+ GP)",Until Dispelled,290,Utility,_,_,_,L,No,No,No,No,No,No,No,Yes
Leomund's Tiny Hut,illusion,"A 10-foot Emanation springs into existence around you and remains stationary for the duration. The spell fails when you cast it if
the Emanation isn’t big enough to fully encapsulate all creatures in its area.
Creatures and objects within the Emanation when you cast the spell can move through it freely. All other creatures and objects are
barred from passing through it. Spells of level 3 or lower can’t be cast through it, and the effects of such spells can’t extend into it.
The atmosphere inside the Emanation is comfortable and dry, regardless of the weather outside. Until the spell ends, you can
command the interior to have Dim Light or Darkness (no action required). The Emanation is opaque from the outside and of any
color you choose, but it’s transparent from the inside.
The spell ends early if you leave the Emanation or if you cast it again.
",Yes,Level 3,1 Minute,,"V, S, M",(a crystal bead),8 Hours,291,Utility,_,_,_,L,Yes,No,No,No,No,No,No,Yes
Lesser Restoration,illusion,"You touch a creature and end one condition on it: Blinded, Deafened, Paralyzed, or Poisoned.
",No,Level 2,Bonus Action,,"V, S",,Instantaneous,291,Healing,_,_,_,L,Yes,Yes,Yes,Yes,Yes,No,No,No
Levitate,abjuration,"One creature or loose object of your choice that you can see within range rises vertically up to 20 feet and remains suspended
there for the duration. The spell can levitate an object that weighs up to 500 pounds. An unwilling creature that succeeds on a
Constitution saving throw is unaffected.
The target can move only by pushing or pulling against a fixed object or surface within reach (such as a wall or a ceiling), which
allows it to move as if it were climbing. You can change the target’s altitude by up to 20 feet in either direction on your turn. If you
are the target, you can move up or down as part of your move. Otherwise, you can take a Magic action to move the target, which
must remain within the spell’s range.
When the spell ends, the target floats gently to the ground if it is still aloft.
",No,Level 2,Action,,"V, S, M",(a metal spring),"Concentration, up to 10 Minutes",291,Utility,_,_,_,L,No,No,No,No,No,Yes,No,Yes
Light,conjuration,"You touch one Large or smaller object that isn’t being worn or carried by someone else. Until the spell ends, the object sheds
Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. The light can be colored as you like.
Covering the object with something opaque blocks the light. The spell ends if you cast it again.",No,Cantrip,Action,,"V, M*",(a firefly or phosphorescent moss),1 Hour,292,Utility,_,Light,_,L,Yes,Yes,No,No,No,Yes,No,Yes
Lightning Arrow,illusion,"As your attack hits or misses the target, the weapon or ammunition you’re using transforms into a lightning bolt. Instead of taking
any damage or other effects from the attack, the target takes 4d8 Lightning damage on a hit or half as much damage on a miss.
Each creature within 10 feet of the target then makes a Dexterity saving throw, taking 2d8 Lightning damage on a failed save or
half as much damage on a successful one.
The weapon or ammunition then returns to its normal form.
Using a Higher-Level Spell Slot. The damage for both effects of the spell increases by 1d8 for each spell slot level above 3",No,Level 3,Bonus Action*,which you take immediately after hitting or missing a target with a ranged attack using a weapon,"V, S",,Instantaneous,292,Damage,Dexterity Save,_,Lightning,L,No,No,No,No,Yes,No,No,No
Lightning Bolt,abjuration,"A stroke of lightning forming a 100-foot-long, 5-foot-wide Line blasts out from you in a direction you choose. Each creature in the
Line makes a Dexterity saving throw, taking 8d6 Lightning damage on a failed save or half as much damage on a successful one.
Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.",No,Level 3,Action,,"V, S, M",(a bit of fur and a crystal rod),Instantaneous,292,Damage,Dexterity Save,_,Lightning,L,No,No,No,No,No,Yes,No,Yes
Locate Animals Or Plants,illusion,"Describe or name a specific kind of Beast, Plant creature, or nonmagical plant. You learn the direction and distance to the closest
creature or plant of that kind within 5 miles, if any are present.",Yes,Level 2,Action,,"V, S, M",(fur from a bloodhound),Instantaneous,292,Utility,_,Information,_,L,Yes,No,Yes,Yes,No,No,No,No
Locate Creature,divination,"Describe or name a creature that is familiar to you. You sense the direction to the creature’s location if that creature is within 1,000
feet of you. If the creature is moving, you know the direction of its movement.
The spell can locate a specific creature known to you or the nearest creature of a specific kind (such as a human or a unicorn) if
you have seen such a creature up close—within 30 feet—at least once. If the creature you described or named is in a different form,
such as under the effects of a Flesh to Stone or Polymorph spell, this spell doesn’t locate the creature.
This spell can’t locate a creature if any thickness of lead blocks a direct path between you and the creature.
",No,Level 4,Action,,"V, S, M",(a bit of fur from a bloodhound),"Concentration, up to 1 Hour",292,Utility,_,Information,_,L,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Locate Object,divination,"Describe or name an object that is familiar to you. You sense the direction to the object’s location if that object is within 1,000 feet
of you. If the object is in motion, you know the direction of its movement.
The spell can locate a specific object known to you if you have seen it up close—within 30 feet—at least once. Alternatively, the
spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.
This spell can’t locate an object if any thickness of lead blocks a direct path between you and the object",No,Level 2,Action,,"V, S, M",(a forked twig),"Concentration, up to 10 Minutes",293,Utility,_,Information,_,L,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Longstrider,abjuration,"You touch a creature. The target’s Speed increases by 10 feet until the spell ends.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.
",No,Level 1,Action,,"V, S, M",(a pinch of dirt),1 Hour,293,Utility,_,Movement,_,L,Yes,No,Yes,No,Yes,No,No,Yes
Mage Armor,enchantment,"You touch a willing creature who isn’t wearing armor. Until the spell ends, the target’s base AC becomes 13 plus its Dexterity
modifier. The spell ends early if the target dons armor.",No,Level 1,Action,,"V, S, M",(a piece of cured leather),8 Hours,293,Protection,_,AC,_,M,No,No,No,No,No,Yes,No,Yes
Mage Hand,transmutation,"A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration. The hand vanishes if it is ever
more than 30 feet away from you or if you cast this spell again.
When you cast the spell, you can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an
item from an open container, or pour the contents out of a vial.
As a Magic action on your later turns, you can control the hand thus again. As part of that action, you can move the hand up to 30
feet.
The hand can’t attack, activate magic items, or carry more than 10 pounds.",No,Cantrip,Action,,"V, S",,1 Minute,293,Utility,_,_,_,M,Yes,No,No,No,No,Yes,Yes,Yes
Magic Circle,illusion,"You create a 10-foot-radius, 20-foot-tall Cylinder of magical energy centered on a point on the ground that you can see within range. Glowing runes appear wherever the Cylinder intersects with the floor or other surface.
Choose one or more of the following types of creatures: Celestials, Elementals, Fey, Fiends, or Undead. The circle affects a creature of the chosen type in the following ways:
The creature can’t willingly enter the Cylinder by nonmagical means. If the creature tries to use teleportation or interplanar travel to
do so, it must first succeed on a Charisma saving throw.
The creature has Disadvantage on attack rolls against targets within the Cylinder.
Targets within the Cylinder can’t be possessed by or gain the Charmed or Frightened condition from the creature.
Each time you cast this spell, you can cause its magic to operate in the reverse direction, preventing a creature of the specified
type from leaving the Cylinder and protecting targets outside it.
Using a Higher-Level Spell Slot. The duration increases by 1 hour for each spell slot level above 3.
",No,Level 3,1 Minute,,"V, S, M**","(salt and powdered silver worth 100+ GP, which the spell consumes)
",1 Hour,293,Protection,Charisma Save,_,_,M,No,Yes,No,Yes,No,No,Yes,Yes
Magic Jar,evocation,"Your body falls into a catatonic state as your soul leaves it and enters the container you used for the spell’s Material component.
While your soul inhabits the container, you are aware of your surroundings as if you were in the container’s space. You can’t move
or take Reactions. The only action you can take is to project your soul up to 100 feet out of the container, either returning to your
living body (and ending the spell) or attempting to possess a Humanoid’s body.
You can attempt to possess any Humanoid within 100 feet of you that you can see (creatures warded by a Protection from Evil
and Good or Magic Circle spell can’t be possessed). The target makes a Charisma saving throw. On a failed save, your soul enters
the target’s body, and the target’s soul becomes trapped in the container. On a successful save, the target resists your efforts to
possess it, and you can’t attempt to possess it again for 24 hours.
Once you possess a creature’s body, you control it. Your Hit Points, Hit Point Dice, Strength, Dexterity, Constitution, Speed, and
senses are replaced by the creature’s. You otherwise keep your game statistics.
Meanwhile, the possessed creature’s soul can perceive from the container using its own senses, but it can’t move and it is
Incapacitated.
While possessing a body, you can take a Magic action to return from the host body to the container if it is within 100 feet of you,
returning the host creature’s soul to its body. If the host body dies while you’re in it, the creature dies, and you make a Charisma
saving throw against your own spellcasting DC. On a success, you return to the container if it is within 100 feet of you. Otherwise,
you die.
If the container is destroyed or the spell ends, your soul returns to your body. If your body is more than 100 feet away from you or if
your body is dead, you die. If another creature’s soul is in the container when it is destroyed, the creature’s soul returns to its body if the body is alive and within 100 feet. Otherwise, that creature dies.
When the spell ends, the container is destroyed.",No,Level 6,1 Minute,,"V, S, M*","(a gem, crystal, reliquary, or some
other ornamental container worth at least 500 gp)",Until Dispelled,294,Utility,_,_,_,M,No,No,No,No,No,No,No,Yes
Magic Missile,illusion,"You create three glowing darts of magical force. Each dart strikes a creature of your choice that you can see within range. A dart
deals 1d4 + 1 Force damage to its target. The darts all strike simultaneously, and you can direct them to hit one creature or several.
Using a Higher-Level Spell Slot. The spell creates one more dart for each spell slot level above 1.",No,Level 1,Action ,,"V, S",,Instantaneous,295,Damage,_,_,Force,M,No,No,No,No,No,Yes,No,Yes
Magic Mouth,necromancy,"You implant a message within an object in range—a message that is uttered when a trigger condition is met. Choose an object that
you can see and that isn’t being worn or carried by another creature. Then speak the message, which must be 25 words or fewer,
though it can be delivered over as long as 10 minutes. Finally, determine the circumstance that will trigger the spell to deliver your
message.
When that trigger occurs, a magical mouth appears on the object and recites the message in your voice and at the same volume
you spoke. If the object you chose has a mouth or something that looks like a mouth (for example, the mouth of a statue), the
magical mouth appears there, so the words appear to come from the object’s mouth. When you cast this spell, you can have the
spell end after it delivers its message, or it can remain and repeat its message whenever the trigger occurs.
The trigger can be as general or as detailed as you like, though it must be based on visual or audible conditions that occur within
30 feet of the object. For example, you could instruct the mouth to speak when any creature moves within 30 feet of the object or
when a silver bell rings within 30 feet of it.
",Yes,Level 2,1 Minute,,"V, S, M**","(jade dust worth 10+ GP, which the spell consumes)",Until Dispelled,295,Utility,_,_,_,M,Yes,No,No,No,No,No,No,Yes
Magic Weapon ,divination,"You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and
damage rolls. The spell ends early if you cast it again.
Using a Higher-Level Spell Slot. The bonus increases to +2 with a level 3–5 spell slot. The bonus increases to +3 with a level 6+
spell slot.
",No,Level 2,Bonus Action,,"V, S",,1 Hour,295,Damage,_,_,_,M,No,No,No,Yes,Yes,Yes,No,Yes
Major Image,enchantment,"You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 20-foot Cube. The image
appears at a spot that you can see within range and lasts for the duration. It seems real, including sounds, smells, and temperature
appropriate to the thing depicted, but it can’t deal damage or cause conditions.
If you are within range of the illusion, you can take a Magic action to cause the image to move to any other spot within range. As
the image changes location, you can alter its appearance so that its movements appear natural for the image. For example, if you
create an image of a creature and move it, you can alter the image so that it appears to be walking. Similarly, you can cause the
illusion to make different sounds at different times, even making it carry on a conversation, for example.
Physical interaction with the image reveals it to be an illusion, for things can pass through it. A creature that takes a Study action
to examine the image can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the creature can see through the image, and its other sensory qualities
become faint to the creature.
Using a Higher-Level Spell Slot. The spell lasts until dispelled, without requiring Concentration, if cast with a level 4+ spell slot",No,Level 3,Action,,"V, S, M",(a bit of fleece),"Concentration, up to 10 Minutes",295,Illusion,_,_,_,M,Yes,No,No,No,No,Yes,Yes,Yes
Mass Cure Wounds,necromancy,"A wave of healing energy washes out from a point you can see within range. Choose up to six creatures in a 30-foot-radius Sphere
centered on that point. Each target regains Hit Points equal to 5d8 plus your spellcasting ability modifier.
Using a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 5.
",No,Level 5,Action ,,"V, S",,Instantaneous,296,Healing,_,_,_,M,Yes,Yes,Yes,No,No,No,No,No
Mass Heal,abjuration,"A flood of healing energy flows from you into creatures around you. You restore up to 700 Hit Points, divided as you choose among any number of creatures that you can see within range. Creatures healed by this spell also have the Blinded, Deafened, and Poisoned conditions removed from them.",No,Level 9,Action,,"V, S",,Instantaneous,296,Healing,_,_,_,M,No,Yes,No,No,No,No,No,No
Mass Healing Word,necromancy,"Up to six creatures of your choice that you can see within range regain Hit Points equal to 2d4 plus your spellcasting ability modifier.
Using a Higher-Level Spell Slot. The healing increases by 1d4 for each spell slot level above 3.
",No,Level 3,Bonus Action,,V,,Instantaneous,296,Healing,_,_,_,M,Yes,Yes,No,No,No,No,No,No
Mass Suggestion,necromancy,"You suggest a course of activity—described in no more than 25 words—to twelve or fewer creatures you can see within range that
can hear and understand you. The suggestion must sound achievable and not involve anything that would obviously deal damage
to any of the targets or their allies. For example, you could say, “Walk to the village down that road, and help the villagers there
harvest crops until sunset.” Or you could say, “Now is not the time for violence. Drop your weapons, and dance! Stop in an hour.”
Each target must succeed on a Wisdom saving throw or have the Charmed condition for the duration or until you or your allies deal
damage to the target. Each Charmed target pursues the suggestion to the best of its ability. The suggested activity can continue
for the entire duration, but if the suggested activity can be completed in a shorter time, the spell ends for a target upon completing
it.
Using a Higher-Level Spell Slot. The duration is longer with a spell slot of level 7 (10 days), 8 (30 days), or 9 (366 days)",No,Level 6,Action,,"V, M",(a snake’s tongue),24 Hours,296,Charm / Control,Wisdom Save,_,_,M,Yes,No,No,No,No,Yes,No,Yes
Maze,conjuration,"You banish a creature that you can see within range into a labyrinthine demiplane. The target remains there for the duration or until it escapes the maze.
The target can take a Study action to try to escape. When it does so, it makes a DC 20 Intelligence (Investigation) check. If it
succeeds, it escapes, and the spell ends.
When the spell ends, the target reappears in the space it left or, if that space is occupied, in the nearest unoccupied space.",No,Level 8,Action,,"V, S",,"Concentration, up to 10 Minutes",296,Utility,_,_,_,M,No,No,No,No,No,No,No,Yes
Meld Into Stone ,illusion,"You step into a stone object or surface large enough to fully contain your body, merging yourself and your equipment with the
stone for the duration. You must touch the stone to do so. Nothing of your presence remains visible or otherwise detectable by
nonmagical senses.
While merged with the stone, you can’t see what occurs outside it, and any Wisdom (Perception) checks you make to hear sounds
outside it are made with Disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in
the stone. You can use 5 feet of movement to leave the stone where you entered it, which ends the spell. You otherwise can’t
move.
Minor physical damage to the stone doesn’t harm you, but its partial destruction or a change in its shape (to the extent that you no
longer fit within it) expels you and deals 6d6 Force damage to you. The stone’s complete destruction (or transmutation into a
different substance) expels you and deals 50 Force damage to you. If expelled, you move into an unoccupied space closest to
where you first entered and have the Prone condition.",Yes,Level 3,Action,,"V, S",,8 Hours,296,Utility,_,_,_,M,No,Yes,Yes,No,Yes,No,No,No
Melf's Acid Arrow,enchantment,"A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against
the target. On a hit, the target takes 4d4 Acid damage and 2d4 Acid damage at the end of its next turn. On a miss, the arrow
splashes the target with acid for half as much of the initial damage only.
Using a Higher-Level Spell Slot. The damage (both initial and later) increases by 1d4 for each spell slot level above 2",No,Level 2,Action,,"V, S, M",(powdered rhubarb leaf),Instantaneous,297,Damage,Attack Roll,_,Acid,M,No,No,No,No,No,No,No,Yes
Mending ,illusion,"This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak,
or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the
former damage.
This spell can physically repair a magic item, but it can’t restore magic to such an object.",No,Cantrip,1 Minute,,"V, S, M",(two lodestones),Instantaneous,297,Utility,_,_,_,M,Yes,Yes,Yes,No,No,Yes,No,Yes
Message,transmutation,"You point toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply
in a whisper that only you can hear.
You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence; 1
foot of stone, metal, or wood; or a thin sheet of lead blocks the spell.
",No,Cantrip,Action,,"V, S, M",(a copper wire),1 Round,298,Utility,_,Communication,_,M,Yes,No,Yes,No,No,Yes,No,Yes
Meteor Swarm,illusion,"Blazing orbs of fire plummet to the ground at four different points you can see within range. Each creature in a 40-foot-radius
Sphere centered on each of those points makes a Dexterity saving throw. A creature takes 20d6 Fire damage and 20d6
Bludgeoning damage on a failed save or half as much damage on a successful one. A creature in the area of more than one fiery
Sphere is affected only once.
A nonmagical object that isn’t being worn or carried also takes the damage if it’s in the spell’s area, and the object starts burning if
it’s flammable.
",No,Level 9,Action,,"V, S",,Instantaneous,298,Damage,Dexterity Save,_,Mixed,M,No,No,No,No,No,Yes,No,Yes
Mind Blank,transmutation,"Until the spell ends, one willing creature you touch has Immunity to Psychic damage and the Charmed condition. The target is also
unaffected by anything that would sense its emotions or alignment, read its thoughts, or magically detect its location, and no spell
—not even Wish—can gather information about the target, observe it remotely, or control its mind.
",No,Level 8,Action,,"V, S",,24 Hours,298,Utility,_,_,_,M,Yes,No,No,No,No,No,No,Yes
Mind Sliver,enchantment,"You try to temporarily sliver the mind of one creature you can see within range. The target must succeed on an Intelligence saving throw or take 1d6 Psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn.
Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",No,Cantrip,Action ,,V,,1 Round,298,Damage,Intelligence Save ,_,Psychic,M,No,No,No,No,No,Yes,Yes,Yes
Mind Spike,illusion,"You drive a spike of psionic energy into the mind of one creature you can see within range. The target makes a Wisdom saving throw, taking 3d8 Psychic damage on a failed save or half as much damage on a successful one. On a failed save, you also always know the target’s location until the spell ends, but only while the two of you are on the same plane of existence. While you have
this knowledge, the target can’t become hidden from you, and if it has the Invisible condition, it gains no benefit from that condition against you.
Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2.",No,Level 2,Action ,,S,,"Concentration, up to 1 Hour",298,Damage,Wisdom Save,_,Psychic,M,No,No,No,No,No,Yes,Yes,Yes
Minor Illusion,divination,"You create a sound or an image of an object within range that lasts for the duration. See the descriptions below for the effects of
each. The illusion ends if you cast this spell again.
If a creature takes a Study action to examine the sound or image, the creature can determine that it is an illusion with a successful
Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the illusion becomes
faint to the creature.
Sound. If you create a sound, its volume can range from a whisper to a scream. It can be your voice, someone else’s voice, a lion’s
roar, a beating of drums, or any other sound you choose. The sound continues unabated throughout the duration, or you can make
discrete sounds at different times before the spell ends.
Image. If you create an image of an object—such as a chair, muddy footprints, or a small chest—it must be no larger than a 5-foot
Cube. The image can’t create sound, light, smell, or any other sensory effect. Physical interaction with the image reveals it to be an
illusion, since things can pass through it.",Yes,Cantrip,Action,,"S, M ",(a bit of fleece),1 Minute,298,Illusion,_,_,_,M,Yes,No,No,No,No,Yes,Yes,Yes
Mirage Arcane,illusion,"You make terrain in an area up to 1 mile square look, sound, smell, and even feel like some other sort of terrain. Open fields or a
road could be made to resemble a swamp, hill, crevasse, or some other rough or impassable terrain. A pond can be made to seem
like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road.
Similarly, you can alter the appearance of structures or add them where none are present. The spell doesn’t disguise, conceal, or
add creatures.
The illusion includes audible, visual, tactile, and olfactory elements, so it can turn clear ground into Difficult Terrain (or vice versa)
or otherwise impede movement through the area. Any piece of the illusory terrain (such as a rock or stick) that is removed from
the spell’s area disappears immediately.
Creatures with Truesight can see through the illusion to the terrain’s true form; however, all other elements of the illusion remain,
so while the creature is aware of the illusion’s presence, the creature can still physically interact with the illusion.",No,Level 7,10 Minutes,,"V, S",,10 Days,299,Utility,_,Difficult Terrain,_,M,Yes,No,Yes,No,No,No,No,Yes
Mirror Image,evocation,"Three illusory duplicates of yourself appear in your space. Until the spell ends, the duplicates move with you and mimic your
actions, shifting position so it’s impossible to track which image is real.
Each time a creature hits you with an attack roll during the spell’s duration, roll a d6 for each of your remaining duplicates. If any of
the d6s rolls a 3 or higher, one of the duplicates is hit instead of you, and the duplicate is destroyed. The duplicates otherwise
ignore all other damage and effects. The spell ends when all three duplicates are destroyed.
A creature is unaffected by this spell if it has the Blinded condition, Blindsight, or Truesight.
",No,Level 2,Action,,"V, S",,1 Minute,299,Utility,_,_,_,M,Yes,No,No,No,No,Yes,Yes,Yes
Mislead,divination,"You gain the Invisible condition at the same time that an illusory double of you appears where you are standing. The double lasts
for the duration, but the invisibility ends immediately after you make an attack roll, deal damage, or cast a spell.
As a Magic action, you can move the illusory double up to twice your Speed and make it gesture, speak, and behave in whatever
way you choose. It is intangible and invulnerable.
You can see through its eyes and hear through its ears as if you were located where it is.

",No,Level 5,Action,,S,,"Concentration, up to 1 Hour",299,Utility,_,Invisibilty,_,M,Yes,No,No,No,No,No,Yes,Yes
Misty Step,evocation,"Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space you can see",No,Level 2,Bonus Action,,V,,Instantaneous,299,Utility,_,Transposition,_,M,No,No,No,No,No,Yes,Yes,Yes
Modify Memory,conjuration,"You attempt to reshape another creature’s memories. One creature that you can see within range makes a Wisdom saving throw. If
you are fighting the creature, it has Advantage on the save. On a failed save, the target has the Charmed condition for the duration.
While Charmed in this way, the target also has the Incapacitated condition and is unaware of its surroundings, though it can hear
you. If it takes any damage or is targeted by another spell, this spell ends, and no memories are modified.
While this charm lasts, you can affect the target’s memory of an event that it experienced within the last 24 hours and that lasted
no more than 10 minutes. You can permanently eliminate all memory of the event, allow the target to recall the event with perfect
clarity, change its memory of the event’s details, or create a memory of some other event.
You must speak to the target to describe how its memories are affected, and it must be able to understand your language for the
modified memories to take root. Its mind fills in any gaps in the details of your description. If the spell ends before you finish
describing the modified memories, the creature’s memory isn’t altered. Otherwise, the modified memories take hold when the spell
ends.
A modified memory doesn’t necessarily affect how a creature behaves, particularly if the memory contradicts the creature’s natural inclinations, alignment, or beliefs. An illogical modified memory, such as a false memory of how much the creature enjoyed
swimming in acid, is dismissed as a bad dream. The DM might deem a modified memory too nonsensical to affect a creature.
A Remove Curse or Greater Restoration spell cast on the target restores the creature’s true memory.
Using a Higher-Level Spell Slot. You can alter the target’s memories of an event that took place up to 7 days ago (level 6 spell
slot), 30 days ago (level 7 spell slot), 365 days ago (level 8 spell slot), or any time in the creature’s past (level 9 spell slot).
",No,Level 5,Action,,"V, S",,"Concentration, up to 1 Minute",299,Utility,Wisdom Save,_,_,M,Yes,No,No,No,No,No,No,Yes
Moonbeam,evocation,"A silvery beam of pale light shines down in a 5-foot-radius, 40-foot-high Cylinder centered on a point within range. Until the spell
ends, Dim Light fills the Cylinder, and you can take a Magic action on later turns to move the Cylinder up to 60 feet.
When the Cylinder appears, each creature in it makes a Constitution saving throw. On a failed save, a creature takes 2d10 Radiant
damage, and if the creature is shape-shifted (as a result of the Polymorph spell, for example), it reverts to its true form and can’t
shape-shift until it leaves the Cylinder. On a successful save, a creature takes half as much damage only. A creature also makes this save when the spell’s area moves into its space and when it enters the spell’s area or ends its turn there. A creature makes this
save only once per turn.
Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 2.
",No,Level 2,Action,,"V, S, M",(a moonseed leaf),"Concentration, up to 1 Minute",300,Damage,Constitution Save ,_,Radiant,M,No,No,Yes,No,No,No,No,No
